treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,88.0,2.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,43.0,2.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,75.0,15.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,22.0,23.0,0.0,45.0
symmetric,AGV vs. RAND,0,90.0,0.0,0.0,0.0,90.0
symmetric,AGV vs. RAND,1,45.0,0.0,0.0,0.0,45.0
symmetric,AGV vs. NSQ,0,60.0,0.0,0.0,30.0,90.0
symmetric,AGV vs. NSQ,1,25.0,0.0,0.0,20.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,2.0,88.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,6.0,39.0,45.0
symmetric,SM vs. NSQ,0,0.0,28.0,0.0,62.0,90.0
symmetric,SM vs. NSQ,1,0.0,8.0,0.0,37.0,45.0
+7,AGV vs. SM,0,83.0,1.0,0.0,0.0,84.0
+7,AGV vs. SM,1,40.0,2.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,58.0,26.0,0.0,84.0
+7,SM vs. RAND,1,0.0,16.0,26.0,0.0,42.0
+7,AGV vs. RAND,0,83.0,0.0,1.0,0.0,84.0
+7,AGV vs. RAND,1,38.0,0.0,4.0,0.0,42.0
+7,AGV vs. NSQ,0,50.0,0.0,0.0,34.0,84.0
+7,AGV vs. NSQ,1,25.0,0.0,0.0,17.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,7.0,77.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,13.0,29.0,42.0
+7,SM vs. NSQ,0,0.0,26.0,0.0,58.0,84.0
+7,SM vs. NSQ,1,0.0,14.0,0.0,28.0,42.0
-7,AGV vs. SM,0,89.0,1.0,0.0,0.0,90.0
-7,AGV vs. SM,1,44.0,1.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,69.0,20.0,0.0,89.0
-7,SM vs. RAND,1,0.0,15.0,29.0,0.0,44.0
-7,AGV vs. RAND,0,89.0,0.0,1.0,0.0,90.0
-7,AGV vs. RAND,1,45.0,0.0,0.0,0.0,45.0
-7,AGV vs. NSQ,0,55.0,0.0,0.0,35.0,90.0
-7,AGV vs. NSQ,1,20.0,0.0,0.0,25.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,9.0,81.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,8.0,37.0,45.0
-7,SM vs. NSQ,0,0.0,22.0,0.0,68.0,90.0
-7,SM vs. NSQ,1,0.0,12.0,0.0,33.0,45.0
three neg,AGV vs. SM,0,36.0,0.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,17.0,1.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,26.0,10.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,4.0,14.0,0.0,18.0
three neg,AGV vs. RAND,0,36.0,0.0,0.0,0.0,36.0
three neg,AGV vs. RAND,1,18.0,0.0,0.0,0.0,18.0
three neg,AGV vs. NSQ,0,20.0,0.0,0.0,15.0,35.0
three neg,AGV vs. NSQ,1,11.0,0.0,0.0,7.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,2.0,34.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,1.0,17.0,18.0
three neg,SM vs. NSQ,0,0.0,13.0,0.0,23.0,36.0
three neg,SM vs. NSQ,1,0.0,1.0,0.0,17.0,18.0
