treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,87.0,3.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,44.0,1.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,73.0,17.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,13.0,31.0,0.0,44.0
symmetric,AGV vs. RAND,0,89.0,0.0,1.0,0.0,90.0
symmetric,AGV vs. RAND,1,42.0,0.0,3.0,0.0,45.0
symmetric,AGV vs. NSQ,0,70.0,0.0,0.0,20.0,90.0
symmetric,AGV vs. NSQ,1,25.0,0.0,0.0,20.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,4.0,86.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,3.0,42.0,45.0
symmetric,SM vs. NSQ,0,0.0,21.0,0.0,69.0,90.0
symmetric,SM vs. NSQ,1,0.0,8.0,0.0,37.0,45.0
+7,AGV vs. SM,0,83.0,1.0,0.0,0.0,84.0
+7,AGV vs. SM,1,42.0,0.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,60.0,24.0,0.0,84.0
+7,SM vs. RAND,1,0.0,16.0,26.0,0.0,42.0
+7,AGV vs. RAND,0,84.0,0.0,0.0,0.0,84.0
+7,AGV vs. RAND,1,42.0,0.0,0.0,0.0,42.0
+7,AGV vs. NSQ,0,60.0,0.0,0.0,24.0,84.0
+7,AGV vs. NSQ,1,14.0,0.0,0.0,28.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,4.0,80.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,13.0,29.0,42.0
+7,SM vs. NSQ,0,0.0,22.0,0.0,62.0,84.0
+7,SM vs. NSQ,1,0.0,13.0,0.0,29.0,42.0
-7,AGV vs. SM,0,90.0,0.0,0.0,0.0,90.0
-7,AGV vs. SM,1,43.0,2.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,61.0,27.0,0.0,88.0
-7,SM vs. RAND,1,0.0,16.0,28.0,0.0,44.0
-7,AGV vs. RAND,0,90.0,0.0,0.0,0.0,90.0
-7,AGV vs. RAND,1,45.0,0.0,0.0,0.0,45.0
-7,AGV vs. NSQ,0,59.0,0.0,0.0,31.0,90.0
-7,AGV vs. NSQ,1,26.0,0.0,0.0,19.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,6.0,84.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,9.0,36.0,45.0
-7,SM vs. NSQ,0,0.0,18.0,0.0,71.0,89.0
-7,SM vs. NSQ,1,0.0,6.0,0.0,39.0,45.0
three neg,AGV vs. SM,0,36.0,0.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,18.0,0.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,25.0,11.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,4.0,14.0,0.0,18.0
three neg,AGV vs. RAND,0,36.0,0.0,0.0,0.0,36.0
three neg,AGV vs. RAND,1,18.0,0.0,0.0,0.0,18.0
three neg,AGV vs. NSQ,0,23.0,0.0,0.0,13.0,36.0
three neg,AGV vs. NSQ,1,11.0,0.0,0.0,7.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,2.0,34.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,3.0,15.0,18.0
three neg,SM vs. NSQ,0,0.0,12.0,0.0,24.0,36.0
three neg,SM vs. NSQ,1,0.0,3.0,0.0,15.0,18.0
