session,Period,Subject,matching_group,rand,r,Valuation,reported_valuation,sum_reported_valuations,GroupDecisionRule,GroupDecisionVote,GroupDecisionVote_XY,vote,VotesInFavour,transfer,reports_others_3_3,reports_others_3_1,reports_others_3_minus_1,reports_others_3_minus_3,reports_others_1_1,reports_others_1_minus_1,reports_others_1_minus_3,reports_others_minus_1_minus_1,reports_others_minus_1_minus_3,reports_others_minus_3_minus_3,TimeOKTestQuestionsOK,positive,TimeOKStageONEOK,TimeWertschaetbenStageTWOAGVOK,TimeStimmeAbgebenStageTWOK2OK,TimeWEITERStageTWOStatusQuoOK,TimeZumMuenzwuImplementationOK,Draw_random_provision,ReportsVector1,ReportsVector2,provision,payoff,earnings,TimeOKOUTPUTRESULTSOK,TimeOKEndOfTrialRoundsOK,independent_groups,group_formation,i,random_number,rank,TimeWEITERWAITNGAFTERROUND12OK,NumberRank,ValuationVector1,ValuationVector2,ValuationVector3,snr1,snr2,snr3,x,y,srnr1,srnr2,SelectedPeriod,TimeOKProfitInfoOK,Age,Gender,TimeOKQuestionaire1OK,Orientation,Party,TimeOKQuestionaire2OK,risk_self,risk_others,TimeOKQuestionaire3OK,reports_others_7_7,reports_others_7_1,reports_others_7_minus_1,reports_others_7_minus_3,reports_others_3_minus_7,reports_others_1_minus_7,reports_others_minus_1_minus_7,reports_others_minus_7_minus_7,reports_others_7_minus_2,reports_others_minus_1_minus_2,reports_others_minus_2_minus_2,reports_others_minus_2_minus_3,Study_Subject,Session_number,treatment_distribution,maxsession,maxsubject,Rule_1,Rule_2,identifier,SurplusGroup,EfficientChoice,HypotheticalResultAGV,HypotheticalResultSM,HypotheticalResultSQ,HypotheticalResultRAND,ChoiceResultSubject,BinaryChoice,dummy_valuation_negative,truth_telling,truth_telling_sign,never_misreports_sign,block,session_match,ad_interim_round,ex_ante_round,valuation_positive,valuation_negative,Value_factor,Rule_Vote,chose_AGV,chose_SM,chose_NSQ,chose_RAND,treatment_number,efficient,efficient_mech_choice,ex_ante_efficient,GK_prefAGV,TaxTheWinner,absVal,Veto,comparison_order_inverted
141210_1516,9,1,1,0.36835492,0.29645094,-1,1,-30,AGV,AGV,2,,,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,33,0.0,30.0,,,1,-10,-10,1,-1.0,,25,,2,1,2,0.085002586,1,,1,-1,1,3,1,2,4,4,4,2,4,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,AGV,SM,101,3,1,1,1,0,0.5,1.0,AGV vs. SM,negative,,,0,2,1_1,0,1,0,1,Value -1,0,0.0,1.0,,,symmetric,0,0.0,0,,,1,,0
141210_1516,1,1,1,0.81072801,0.053471379,-3,-1,9,AGV,AGV,2,,,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,25,30.0,0.0,0.0,0.0,1,3,3,1,-3.0,9.0,19,,2,1,2,0.10578297,1,0.0,1,-3,1,3,1,3,4,4,4,3,4,0.0,0.0,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,101,1,1,1,1,0,0.5,1.0,AGV vs. SM,negative,0.0,0.0,0,1,1_1,0,1,0,1,Value -3,1,1.0,0.0,,,symmetric,1,1.0,0,,,3,,1
141210_1516,4,1,1,0.90393436,0.17059815,-3,-3,5,AGV,AGV,1,,,0.125,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,34,33.0,,0.0,,1,3,1,1,-2.875,,19,,2,1,2,0.25812548,2,,1,-3,1,1,1,4,7,4,7,4,7,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,NSQ,AGV,101,-1,0,0,1,0,0.5,0.0,AGV vs. NSQ,negative,0.0,0.0,0,1,1_1,0,1,0,1,Value -3,0,0.0,,1.0,,symmetric,0,0.0,0,,,3,,1
141210_1516,8,1,3,0.1835279,0.056636132,-3,-3,7,AGV,AGV,2,,,-0.125,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,34,31.0,,0.0,,0,1,3,1,-3.125,,14,,2,1,2,0.85001844,3,,1,-3,1,3,1,5,8,4,8,5,8,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,AGV,NSQ,101,1,1,1,1,0,0.5,0.0,AGV vs. NSQ,negative,0.0,0.0,0,2,1_1,0,1,0,1,Value -3,0,0.0,,1.0,,symmetric,0,0.0,0,,,3,,0
141210_1516,11,1,1,0.31447548,0.90562522,3,3,3,AGV,AGV,1,,,0.125,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,34,37.0,,,0.0,0,3,-1,1,3.125,,25,,2,1,2,0.27180573,3,,1,3,3,-1,1,2,6,4,6,2,6,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,RAND,AGV,101,5,1,1,1,0,0.5,0.5,AGV vs. RAND,positive,0.0,1.0,0,2,1_1,0,1,1,0,Value 3,0,0.0,,,1.0,symmetric,0,0.0,0,,,3,,1
141210_1516,3,1,2,0.84693885,0.50167155,1,3,-30,AGV,AGV,2,,,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,30,0.0,,,38.0,0,-10,-10,0,0.0,,24,,2,1,2,0.7356382,1,,1,1,1,3,1,3,6,4,6,3,6,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,AGV,RAND,101,5,1,1,1,0,0.5,0.5,AGV vs. RAND,positive,,,0,1,1_1,0,1,1,0,Value 1,0,0.0,,,1.0,symmetric,0,0.0,0,,,1,,0
141210_1516,6,1,1,0.84854591,0.4080582,-1,-10,-30,SM,SM,1,1,,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,34,,34.0,,,1,-10,-10,1,-1.0,,21,,2,1,2,0.20182084,1,,1,-1,3,-3,1,2,5,4,5,2,5,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,SM,NSQ,101,-1,0,0,0,0,0.5,0.0,SM vs. NSQ,negative,,,0,1,1_1,0,1,0,1,Value -1,1,,1.0,0.0,,symmetric,1,1.0,1,,,1,,0
141210_1516,12,1,3,0.21354382,0.11377047,-3,-10,-30,SM,SM,1,1,,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,36,,36.0,,,1,-10,-10,0,0.0,,24,,2,1,2,0.72131121,2,,1,-3,-1,-1,1,3,6,4,6,3,6,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,NSQ,SM,101,-5,0,0,0,0,0.5,0.0,SM vs. NSQ,negative,,,0,2,1_1,0,1,0,1,Value -3,0,,0.0,1.0,,symmetric,0,0.0,1,,,3,,1
141210_1516,2,1,1,0.61267811,0.96460819,3,-10,-30,SM,SM,1,1,,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,30,,32.0,,0.0,1,-10,-10,0,0.0,,22,,2,1,2,0.13376755,2,,1,3,-1,1,1,2,9,4,9,2,9,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,101,3,1,1,1,0,0.5,1.0,SM vs. RAND,positive,,,0,1,1_1,0,1,1,0,Value 3,1,,1.0,,0.0,symmetric,1,1.0,1,,,3,,0
141210_1516,7,1,2,0.99708951,0.92846769,3,-10,-30,SM,SM,1,1,,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,32,,0.0,,39.0,1,-10,-10,1,3.0,,23,,2,1,2,0.67740887,1,,1,3,-3,1,1,6,8,4,8,6,8,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,RAND,SM,101,1,1,1,1,0,0.5,0.5,SM vs. RAND,positive,,,0,2,1_1,0,1,1,0,Value 3,0,,0.0,,1.0,symmetric,0,0.0,1,,,3,,1
