treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,76.0,14.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,40.0,5.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,87.0,3.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,44.0,1.0,0.0,45.0
symmetric,AGV vs. RAND,0,90.0,0.0,0.0,0.0,90.0
symmetric,AGV vs. RAND,1,41.0,0.0,4.0,0.0,45.0
symmetric,AGV vs. NSQ,0,72.0,0.0,0.0,18.0,90.0
symmetric,AGV vs. NSQ,1,19.0,0.0,0.0,25.0,44.0
symmetric,NSQ vs. RAND,0,0.0,0.0,7.0,83.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,19.0,26.0,45.0
symmetric,SM vs. NSQ,0,0.0,72.0,0.0,18.0,90.0
symmetric,SM vs. NSQ,1,0.0,21.0,0.0,24.0,45.0
+7,AGV vs. SM,0,57.0,27.0,0.0,0.0,84.0
+7,AGV vs. SM,1,25.0,17.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,82.0,2.0,0.0,84.0
+7,SM vs. RAND,1,0.0,42.0,0.0,0.0,42.0
+7,AGV vs. RAND,0,83.0,0.0,1.0,0.0,84.0
+7,AGV vs. RAND,1,38.0,0.0,4.0,0.0,42.0
+7,AGV vs. NSQ,0,48.0,0.0,0.0,35.0,83.0
+7,AGV vs. NSQ,1,20.0,0.0,0.0,22.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,6.0,78.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,20.0,20.0,40.0
+7,SM vs. NSQ,0,0.0,69.0,0.0,15.0,84.0
+7,SM vs. NSQ,1,0.0,25.0,0.0,17.0,42.0
-7,AGV vs. SM,0,64.0,26.0,0.0,0.0,90.0
-7,AGV vs. SM,1,42.0,3.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,89.0,1.0,0.0,90.0
-7,SM vs. RAND,1,0.0,45.0,0.0,0.0,45.0
-7,AGV vs. RAND,0,88.0,0.0,1.0,0.0,89.0
-7,AGV vs. RAND,1,32.0,0.0,12.0,0.0,44.0
-7,AGV vs. NSQ,0,40.0,0.0,0.0,49.0,89.0
-7,AGV vs. NSQ,1,16.0,0.0,0.0,26.0,42.0
-7,NSQ vs. RAND,0,0.0,0.0,1.0,89.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,20.0,22.0,42.0
-7,SM vs. NSQ,0,0.0,56.0,0.0,34.0,90.0
-7,SM vs. NSQ,1,0.0,33.0,0.0,12.0,45.0
three neg,AGV vs. SM,0,23.0,13.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,15.0,3.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,32.0,4.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,18.0,0.0,0.0,18.0
three neg,AGV vs. RAND,0,36.0,0.0,0.0,0.0,36.0
three neg,AGV vs. RAND,1,12.0,0.0,6.0,0.0,18.0
three neg,AGV vs. NSQ,0,16.0,0.0,0.0,20.0,36.0
three neg,AGV vs. NSQ,1,5.0,0.0,0.0,12.0,17.0
three neg,NSQ vs. RAND,0,0.0,0.0,5.0,31.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,5.0,13.0,18.0
three neg,SM vs. NSQ,0,0.0,27.0,0.0,9.0,36.0
three neg,SM vs. NSQ,1,0.0,7.0,0.0,11.0,18.0
