treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,62.0,28.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,36.0,9.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,81.0,9.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,34.0,11.0,0.0,45.0
symmetric,AGV vs. RAND,0,60.0,0.0,30.0,0.0,90.0
symmetric,AGV vs. RAND,1,40.0,0.0,5.0,0.0,45.0
symmetric,AGV vs. NSQ,0,67.0,0.0,0.0,23.0,90.0
symmetric,AGV vs. NSQ,1,38.0,0.0,0.0,7.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,75.0,15.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,44.0,1.0,45.0
symmetric,SM vs. NSQ,0,0.0,76.0,0.0,14.0,90.0
symmetric,SM vs. NSQ,1,0.0,36.0,0.0,9.0,45.0
+7,AGV vs. SM,0,61.0,23.0,0.0,0.0,84.0
+7,AGV vs. SM,1,25.0,17.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,73.0,11.0,0.0,84.0
+7,SM vs. RAND,1,0.0,25.0,17.0,0.0,42.0
+7,AGV vs. RAND,0,66.0,0.0,18.0,0.0,84.0
+7,AGV vs. RAND,1,35.0,0.0,7.0,0.0,42.0
+7,AGV vs. NSQ,0,57.0,0.0,0.0,27.0,84.0
+7,AGV vs. NSQ,1,25.0,0.0,0.0,17.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,69.0,15.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,42.0,0.0,42.0
+7,SM vs. NSQ,0,0.0,64.0,0.0,20.0,84.0
+7,SM vs. NSQ,1,0.0,30.0,0.0,12.0,42.0
-7,AGV vs. SM,0,55.0,35.0,0.0,0.0,90.0
-7,AGV vs. SM,1,37.0,8.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,77.0,13.0,0.0,90.0
-7,SM vs. RAND,1,0.0,28.0,17.0,0.0,45.0
-7,AGV vs. RAND,0,77.0,0.0,13.0,0.0,90.0
-7,AGV vs. RAND,1,33.0,0.0,12.0,0.0,45.0
-7,AGV vs. NSQ,0,60.0,0.0,0.0,30.0,90.0
-7,AGV vs. NSQ,1,45.0,0.0,0.0,0.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,77.0,13.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,44.0,1.0,45.0
-7,SM vs. NSQ,0,0.0,72.0,0.0,18.0,90.0
-7,SM vs. NSQ,1,0.0,29.0,0.0,16.0,45.0
three neg,AGV vs. SM,0,23.0,13.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,13.0,5.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,30.0,6.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,11.0,7.0,0.0,18.0
three neg,AGV vs. RAND,0,28.0,0.0,8.0,0.0,36.0
three neg,AGV vs. RAND,1,10.0,0.0,8.0,0.0,18.0
three neg,AGV vs. NSQ,0,28.0,0.0,0.0,8.0,36.0
three neg,AGV vs. NSQ,1,17.0,0.0,0.0,1.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,30.0,6.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,18.0,0.0,18.0
three neg,SM vs. NSQ,0,0.0,24.0,0.0,12.0,36.0
three neg,SM vs. NSQ,1,0.0,9.0,0.0,9.0,18.0
