treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,23.0,67.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,32.0,13.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,84.0,6.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,35.0,10.0,0.0,45.0
symmetric,AGV vs. RAND,0,63.0,0.0,27.0,0.0,90.0
symmetric,AGV vs. RAND,1,30.0,0.0,15.0,0.0,45.0
symmetric,AGV vs. NSQ,0,57.0,0.0,0.0,33.0,90.0
symmetric,AGV vs. NSQ,1,38.0,0.0,0.0,7.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,84.0,6.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,31.0,14.0,45.0
symmetric,SM vs. NSQ,0,0.0,82.0,0.0,8.0,90.0
symmetric,SM vs. NSQ,1,0.0,35.0,0.0,10.0,45.0
+7,AGV vs. SM,0,22.0,61.0,0.0,0.0,83.0
+7,AGV vs. SM,1,16.0,26.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,82.0,2.0,0.0,84.0
+7,SM vs. RAND,1,0.0,18.0,24.0,0.0,42.0
+7,AGV vs. RAND,0,67.0,0.0,17.0,0.0,84.0
+7,AGV vs. RAND,1,27.0,0.0,15.0,0.0,42.0
+7,AGV vs. NSQ,0,48.0,0.0,0.0,36.0,84.0
+7,AGV vs. NSQ,1,15.0,0.0,0.0,27.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,79.0,5.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,33.0,9.0,42.0
+7,SM vs. NSQ,0,0.0,79.0,0.0,5.0,84.0
+7,SM vs. NSQ,1,0.0,31.0,0.0,11.0,42.0
-7,AGV vs. SM,0,35.0,55.0,0.0,0.0,90.0
-7,AGV vs. SM,1,30.0,14.0,0.0,0.0,44.0
-7,SM vs. RAND,0,0.0,81.0,9.0,0.0,90.0
-7,SM vs. RAND,1,0.0,33.0,12.0,0.0,45.0
-7,AGV vs. RAND,0,70.0,0.0,20.0,0.0,90.0
-7,AGV vs. RAND,1,14.0,0.0,31.0,0.0,45.0
-7,AGV vs. NSQ,0,53.0,0.0,0.0,37.0,90.0
-7,AGV vs. NSQ,1,36.0,0.0,0.0,8.0,44.0
-7,NSQ vs. RAND,0,0.0,0.0,81.0,9.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,32.0,13.0,45.0
-7,SM vs. NSQ,0,0.0,81.0,0.0,9.0,90.0
-7,SM vs. NSQ,1,0.0,36.0,0.0,9.0,45.0
three neg,AGV vs. SM,0,10.0,25.0,0.0,0.0,35.0
three neg,AGV vs. SM,1,17.0,1.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,34.0,2.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,9.0,9.0,0.0,18.0
three neg,AGV vs. RAND,0,27.0,0.0,8.0,0.0,35.0
three neg,AGV vs. RAND,1,4.0,0.0,14.0,0.0,18.0
three neg,AGV vs. NSQ,0,22.0,0.0,0.0,14.0,36.0
three neg,AGV vs. NSQ,1,13.0,0.0,0.0,5.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,33.0,3.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,16.0,2.0,18.0
three neg,SM vs. NSQ,0,0.0,33.0,0.0,3.0,36.0
three neg,SM vs. NSQ,1,0.0,10.0,0.0,8.0,18.0
