treatment_distribution,BinaryChoice,valuation_positive,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,0,33.0,14.0,0.0,0.0,47.0
symmetric,AGV vs. SM,0,1,12.0,10.0,0.0,0.0,22.0
symmetric,AGV vs. SM,1,0,29.0,13.0,0.0,0.0,42.0
symmetric,AGV vs. SM,1,1,20.0,3.0,0.0,0.0,23.0
symmetric,SM vs. RAND,0,0,0.0,43.0,2.0,0.0,45.0
symmetric,SM vs. RAND,0,1,0.0,21.0,0.0,0.0,21.0
symmetric,SM vs. RAND,1,0,0.0,43.0,1.0,0.0,44.0
symmetric,SM vs. RAND,1,1,0.0,24.0,0.0,0.0,24.0
symmetric,AGV vs. RAND,0,0,38.0,0.0,3.0,0.0,41.0
symmetric,AGV vs. RAND,0,1,23.0,0.0,3.0,0.0,26.0
symmetric,AGV vs. RAND,1,0,45.0,0.0,4.0,0.0,49.0
symmetric,AGV vs. RAND,1,1,19.0,0.0,0.0,0.0,19.0
symmetric,AGV vs. NSQ,0,0,42.0,0.0,0.0,3.0,45.0
symmetric,AGV vs. NSQ,0,1,0.0,0.0,0.0,23.0,23.0
symmetric,AGV vs. NSQ,1,0,38.0,0.0,0.0,7.0,45.0
symmetric,AGV vs. NSQ,1,1,21.0,0.0,0.0,0.0,21.0
symmetric,NSQ vs. RAND,0,0,0.0,0.0,4.0,44.0,48.0
symmetric,NSQ vs. RAND,0,1,0.0,0.0,0.0,26.0,26.0
symmetric,NSQ vs. RAND,1,0,0.0,0.0,3.0,38.0,41.0
symmetric,NSQ vs. RAND,1,1,0.0,0.0,19.0,0.0,19.0
symmetric,SM vs. NSQ,0,0,0.0,22.0,0.0,20.0,42.0
symmetric,SM vs. NSQ,0,1,0.0,0.0,0.0,24.0,24.0
symmetric,SM vs. NSQ,1,0,0.0,26.0,0.0,21.0,47.0
symmetric,SM vs. NSQ,1,1,0.0,20.0,0.0,1.0,21.0
+7,AGV vs. SM,0,0,22.0,13.0,0.0,0.0,35.0
+7,AGV vs. SM,0,1,10.0,14.0,0.0,0.0,24.0
+7,AGV vs. SM,1,0,31.0,16.0,0.0,0.0,47.0
+7,AGV vs. SM,1,1,7.0,11.0,0.0,0.0,18.0
+7,SM vs. RAND,0,0,0.0,41.0,1.0,0.0,42.0
+7,SM vs. RAND,0,1,0.0,18.0,3.0,0.0,21.0
+7,SM vs. RAND,1,0,0.0,40.0,1.0,0.0,41.0
+7,SM vs. RAND,1,1,0.0,21.0,0.0,0.0,21.0
+7,AGV vs. RAND,0,0,40.0,0.0,4.0,0.0,44.0
+7,AGV vs. RAND,0,1,13.0,0.0,4.0,0.0,17.0
+7,AGV vs. RAND,1,0,37.0,0.0,3.0,0.0,40.0
+7,AGV vs. RAND,1,1,23.0,0.0,0.0,0.0,23.0
+7,AGV vs. NSQ,0,0,36.0,0.0,0.0,10.0,46.0
+7,AGV vs. NSQ,0,1,0.0,0.0,0.0,19.0,19.0
+7,AGV vs. NSQ,1,0,31.0,0.0,0.0,6.0,37.0
+7,AGV vs. NSQ,1,1,22.0,0.0,0.0,1.0,23.0
+7,NSQ vs. RAND,0,0,0.0,0.0,5.0,41.0,46.0
+7,NSQ vs. RAND,0,1,0.0,0.0,0.0,19.0,19.0
+7,NSQ vs. RAND,1,0,0.0,0.0,1.0,37.0,38.0
+7,NSQ vs. RAND,1,1,0.0,0.0,22.0,1.0,23.0
+7,SM vs. NSQ,0,0,0.0,25.0,0.0,23.0,48.0
+7,SM vs. NSQ,0,1,0.0,0.0,0.0,17.0,17.0
+7,SM vs. NSQ,1,0,0.0,16.0,0.0,20.0,36.0
+7,SM vs. NSQ,1,1,0.0,24.0,0.0,1.0,25.0
-7,AGV vs. SM,0,0,36.0,11.0,0.0,0.0,47.0
-7,AGV vs. SM,0,1,15.0,6.0,0.0,0.0,21.0
-7,AGV vs. SM,1,0,28.0,14.0,0.0,0.0,42.0
-7,AGV vs. SM,1,1,22.0,1.0,0.0,0.0,23.0
-7,SM vs. RAND,0,0,0.0,42.0,2.0,0.0,44.0
-7,SM vs. RAND,0,1,0.0,24.0,1.0,0.0,25.0
-7,SM vs. RAND,1,0,0.0,44.0,2.0,0.0,46.0
-7,SM vs. RAND,1,1,0.0,20.0,0.0,0.0,20.0
