treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,32.0,58.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,31.0,14.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,78.0,12.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,38.0,7.0,0.0,45.0
symmetric,AGV vs. RAND,0,73.0,0.0,17.0,0.0,90.0
symmetric,AGV vs. RAND,1,39.0,0.0,6.0,0.0,45.0
symmetric,AGV vs. NSQ,0,69.0,0.0,0.0,21.0,90.0
symmetric,AGV vs. NSQ,1,19.0,0.0,0.0,26.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,41.0,49.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,18.0,27.0,45.0
symmetric,SM vs. NSQ,0,0.0,79.0,0.0,11.0,90.0
symmetric,SM vs. NSQ,1,0.0,20.0,0.0,25.0,45.0
+7,AGV vs. SM,0,35.0,49.0,0.0,0.0,84.0
+7,AGV vs. SM,1,27.0,15.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,74.0,10.0,0.0,84.0
+7,SM vs. RAND,1,0.0,35.0,7.0,0.0,42.0
+7,AGV vs. RAND,0,71.0,0.0,13.0,0.0,84.0
+7,AGV vs. RAND,1,32.0,0.0,10.0,0.0,42.0
+7,AGV vs. NSQ,0,69.0,0.0,0.0,15.0,84.0
+7,AGV vs. NSQ,1,22.0,0.0,0.0,20.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,60.0,24.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,21.0,21.0,42.0
+7,SM vs. NSQ,0,0.0,76.0,0.0,8.0,84.0
+7,SM vs. NSQ,1,0.0,26.0,0.0,16.0,42.0
-7,AGV vs. SM,0,63.0,27.0,0.0,0.0,90.0
-7,AGV vs. SM,1,24.0,21.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,84.0,6.0,0.0,90.0
-7,SM vs. RAND,1,0.0,35.0,10.0,0.0,45.0
-7,AGV vs. RAND,0,74.0,0.0,16.0,0.0,90.0
-7,AGV vs. RAND,1,33.0,0.0,12.0,0.0,45.0
-7,AGV vs. NSQ,0,68.0,0.0,0.0,22.0,90.0
-7,AGV vs. NSQ,1,21.0,0.0,0.0,24.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,32.0,58.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,24.0,21.0,45.0
-7,SM vs. NSQ,0,0.0,60.0,0.0,30.0,90.0
-7,SM vs. NSQ,1,0.0,33.0,0.0,12.0,45.0
three neg,AGV vs. SM,0,19.0,17.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,9.0,9.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,27.0,9.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,13.0,5.0,0.0,18.0
three neg,AGV vs. RAND,0,31.0,0.0,5.0,0.0,36.0
three neg,AGV vs. RAND,1,11.0,0.0,7.0,0.0,18.0
three neg,AGV vs. NSQ,0,29.0,0.0,0.0,7.0,36.0
three neg,AGV vs. NSQ,1,10.0,0.0,0.0,8.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,20.0,16.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,5.0,13.0,18.0
three neg,SM vs. NSQ,0,0.0,33.0,0.0,3.0,36.0
three neg,SM vs. NSQ,1,0.0,8.0,0.0,10.0,18.0
