session,Period,Subject,matching_group,rand,r,Valuation,reported_valuation,sum_reported_valuations,GroupDecisionRule,GroupDecisionVote,GroupDecisionVote_XY,vote,VotesInFavour,transfer,reports_others_3_3,reports_others_3_1,reports_others_3_minus_1,reports_others_3_minus_3,reports_others_1_1,reports_others_1_minus_1,reports_others_1_minus_3,reports_others_minus_1_minus_1,reports_others_minus_1_minus_3,reports_others_minus_3_minus_3,TimeOKTestQuestionsOK,positive,TimeOKStageONEOK,TimeWertschaetbenStageTWOAGVOK,TimeStimmeAbgebenStageTWOK2OK,TimeWEITERStageTWOStatusQuoOK,TimeZumMuenzwuImplementationOK,Draw_random_provision,ReportsVector1,ReportsVector2,provision,payoff,earnings,TimeOKOUTPUTRESULTSOK,TimeOKEndOfTrialRoundsOK,independent_groups,group_formation,i,random_number,rank,TimeWEITERWAITNGAFTERROUND12OK,NumberRank,ValuationVector1,ValuationVector2,ValuationVector3,snr1,snr2,snr3,x,y,srnr1,srnr2,SelectedPeriod,TimeOKProfitInfoOK,Age,Gender,TimeOKQuestionaire1OK,Orientation,Party,TimeOKQuestionaire2OK,risk_self,risk_others,TimeOKQuestionaire3OK,reports_others_7_7,reports_others_7_1,reports_others_7_minus_1,reports_others_7_minus_3,reports_others_3_minus_7,reports_others_1_minus_7,reports_others_minus_1_minus_7,reports_others_minus_7_minus_7,reports_others_7_minus_2,reports_others_minus_1_minus_2,reports_others_minus_2_minus_2,reports_others_minus_2_minus_3,Study_Subject,Session_number,treatment_distribution,maxsession,maxsubject,Rule_1,Rule_2,identifier,SurplusGroup,EfficientChoice,HypotheticalResultAGV,HypotheticalResultSM,HypotheticalResultSQ,HypotheticalResultRAND,ChoiceResultSubject,BinaryChoice,dummy_valuation_negative,truth_telling,truth_telling_sign,never_misreports_sign,block,session_match,ad_interim_round,ex_ante_round,valuation_positive,valuation_negative,Value_factor,Rule_Vote,chose_AGV,chose_SM,chose_NSQ,chose_RAND,treatment_number,efficient,efficient_mech_choice,ex_ante_efficient,GK_prefAGV,TaxTheWinner,absVal,Veto,comparison_order_inverted,Rational
141210_1516,1,1,1,0.81072801,0.053471379,-3,3,9,AGV,AGV,2,-1,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,25,30.0,0.0,0.0,0.0,1,3,3,1,-3.0,9.0,19,,2,1,2,0.10578297,1,0.0,1,-3,1,3,1,3,4,4,4,3,4,0.0,0.0,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,101,1,1,1,1,0,0.5,1.0,AGV vs. SM,negative,0.0,0.0,0,1,1_1,0,1,0,1,Value -3,1,1.0,0.0,,,symmetric,1.0,1.0,1.0,,,3,,1,1
141210_1516,1,3,1,0.25368947,0.69347477,1,3,9,AGV,SM,1,-1,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,5,18.0,0.0,,,0,3,3,1,1.0,,2,,2,1,2,0.17466381,2,,1,-3,1,3,1,3,4,4,4,1,4,,,19,male,,6,FDP,,3,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,103,1,1,1,1,0,0.5,1.0,AGV vs. SM,positive,0.0,1.0,1,1,1_1,0,1,1,0,Value 1,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,1,,1,1
141210_1516,1,4,1,0.089805126,0.79003048,3,3,9,AGV,AGV,2,-1,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,28,33.0,0.0,,,1,3,3,1,3.0,,12,,2,1,2,0.10601617,3,,1,-3,1,3,1,3,4,4,3,1,3,,,25,female,,8,Nichtwähler,,3,8,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,104,1,1,1,1,0,0.5,1.0,AGV vs. SM,positive,1.0,1.0,1,1,1_1,0,1,1,0,Value 3,1,1.0,0.0,,,symmetric,1.0,1.0,1.0,,,3,,1,1
141210_1516,1,2,2,0.80467045,0.43985426,-1,-1,-5,AGV,SM,1,-1,0,0.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1.0,,0,25,10.0,0.0,,,1,-1,-3,0,0.125,,19,,2,1,2,0.29153389,2,,1,-1,-1,-1,2,5,7,4,7,5,7,,,26,male,,4,Die Linke,,2,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,102,-3,0,0,0,0,0.5,0.0,AGV vs. SM,negative,1.0,1.0,1,1,1_1,0,1,0,1,Value -1,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,1,,1,1
141210_1516,1,5,2,0.95589727,0.4033722,-1,-1,-5,AGV,AGV,2,-1,0,0.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1.0,,0,20,22.0,0.0,,,1,-1,-3,0,0.125,,16,,2,1,2,0.35741907,1,,1,-1,-1,-1,2,5,7,4,7,2,7,,,26,male,,2,Sonstige,,5,8,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,105,-3,0,0,0,0,0.5,0.0,AGV vs. SM,negative,1.0,1.0,1,1,1_1,0,1,0,1,Value -1,1,1.0,0.0,,,symmetric,1.0,1.0,1.0,,,1,,1,1
141210_1516,1,7,2,0.32338229,0.4767442,-1,-3,-5,AGV,SM,1,-1,0,-0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,,0,23,13.0,0.0,,,0,-1,-1,0,-0.25,,0,,2,1,2,0.37817925,3,,1,-1,-1,-1,2,5,7,4,5,2,5,,,23,female,,4,SPD,,8,7,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,107,-3,0,0,0,0,0.5,0.0,AGV vs. SM,negative,0.0,1.0,1,1,1_1,0,1,0,1,Value -1,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,1,,1,1
141210_1516,1,6,3,0.6816389,0.97905171,3,3,7,AGV,SM,1,-1,0,-0.125,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,30,32.0,0.0,,,1,3,1,1,2.875,,14,,2,1,2,0.92243594,2,,1,3,3,-1,6,8,9,4,9,8,9,,,21,male,,2,Die Linke,,3,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,106,5,1,1,1,0,0.5,1.0,AGV vs. SM,positive,1.0,1.0,1,1,1_1,0,1,1,0,Value 3,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,3,,1,0
141210_1516,1,8,3,0.15244272,0.75863868,3,3,7,AGV,SM,1,-1,0,-0.125,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,23,26.0,0.0,,,0,3,1,1,2.875,,4,,2,1,2,0.63522494,3,,1,3,3,-1,6,8,9,4,9,6,9,,,23,female,,4,CDU/CSU,,8,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,108,5,1,1,1,0,0.5,1.0,AGV vs. SM,positive,1.0,1.0,0,1,1_1,0,1,1,0,Value 3,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,3,,1,0
141210_1516,1,9,3,0.87198424,0.42897767,-1,1,7,AGV,AGV,2,-1,0,0.25,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,15,19.0,0.0,,,1,3,3,1,-0.75,,-6,,2,1,2,0.75115645,1,,1,3,3,-1,6,8,9,4,8,6,8,,,26,male,,10,AfD,,8,8,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,109,5,1,1,1,0,0.5,1.0,AGV vs. SM,negative,0.0,0.0,0,1,1_1,0,1,0,1,Value -1,1,1.0,0.0,,,symmetric,1.0,1.0,1.0,,,1,,1,1
141210_1516,1,10,4,0.35469764,0.22970735,-3,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,20,0.0,23.0,,,1,-10,-10,0,-3.0,,16,,2,2,2,10.225819,1,,1,-3,1,3,10,19,21,4,21,19,21,,,19,female,,6,CDU/CSU,,6,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,110,1,1,1,1,0,0.5,1.0,AGV vs. SM,negative,,,1,1,1_2,0,1,0,1,Value -3,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,3,,1,0
